Timestamp,CPU_Porcentaje,RAM_Porcentaje
2026-02-01 11:58:35,8.2,82.6
2026-02-01 11:58:36,4.3,82.5
2026-02-01 11:58:37,4.3,82.4
2026-02-01 11:58:38,2.7,82.3
2026-02-01 11:58:39,5.4,82.1
2026-02-01 11:58:40,10.0,82.2
2026-02-01 11:58:41,7.4,82.1
2026-02-01 11:58:42,2.7,82.2
2026-02-01 11:58:43,2.3,82.1
2026-02-01 11:58:44,1.9,82.1
2026-02-01 11:58:45,3.1,82.1
2026-02-01 11:58:46,4.7,81.9
2026-02-01 11:58:47,1.9,81.9
2026-02-01 11:58:48,3.1,81.9
2026-02-01 11:58:49,3.9,81.9
2026-02-01 11:58:50,5.7,81.8
2026-02-01 11:58:51,4.7,81.8
2026-02-01 11:58:52,5.9,81.8
2026-02-01 11:58:53,6.9,81.8
2026-02-01 11:58:54,13.8,81.0
2026-02-01 11:58:55,66.0,82.2
2026-02-01 11:58:56,38.1,82.4
2026-02-01 11:58:57,26.5,82.9
2026-02-01 11:58:58,33.2,82.6
2026-02-01 11:58:59,41.2,82.1
